EPCode,Name,company,flow,alarm,abnormaldata,data,check,rule
3208300200003052,光大生物能源（盱眙）有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208300200002788,江苏圣元环保电力有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320802000005,淮安金州水务有限公司,,Page_0c941e3207f84e34a7f73cee4c9c497b,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320802000004,淮安经济开发区热电有限责任公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208000201001768,淮安市第三污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208010201000084,淮安同方盐化工业污水处理有限公司,,Page_a15f972234e4490b94af2afa7801545e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208000200002403,江苏国信淮安第二燃气发电有限责任公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000128,阜宁县水处理发展有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209230200004054,阜宁协鑫再生能源发电有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000163,东台市污水处理有限公司（东台污水处理厂）,,Page_1302e5a6b5694c92ad20b88ea74ce817,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000157,盐城建宜水务有限公司,,Page_6861aa2a0ccd428abd646ece40a0603a,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209030200002401,盐城苏水水务有限公司,,Page_dc4cbaff6f86475ea411bc9cf886be55,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000159,盐城建工环境水务有限公司,,Page_173887a381b8414baacd41bb3dee458d,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000227,建湖县城东污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000138,射阳县污水处理有限责任公司,,Page_af111357d3cf43a8b969467c0b7f9c97,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209240200003062,江苏恒泰新能源有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320922000020,滨海县港城城市污水处理有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209220202001829,国家电投集团协鑫滨海发电有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209220200002462,江苏大吉环保能源滨海有限公司（江苏大吉环保能源有限公司）,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209040200007198,盐城市大丰污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209040202001775,盐城市开发区大丰污水处理厂（大丰开发区大丰污水处理厂）,,Page_0fc59915eac84ba4aa87e637a589ab04,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000148,大丰阳光热电有限公司（大丰阳光热电）,Page_859316e234ed4a94b14096b8ffd6b1fe,Page_a62bff5269fc45c3a8e421934276b6ad,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3209040200006616,江苏大吉环保能源大丰有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320900000003,盐城市城东污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
