Status,Type,City,Area,Name,EPCode,HJ212MN,ADCode,USCCode,NEICode,NEIName,Industry,Corporate,Address,Latitude,Longitude,Remark
0,30,扬州市,邗江区,扬州港口污泥发电有限公司,321000000035,321000000035888888889201,321071151000,91321091744802225N,D4411,火力发电,电力,舒桦,扬州市开发区八里镇古渡路199号,119.412717,32.266476,扬州港口污泥发电有限公司位于扬州经济技术开发区港口工业园。配备2台130t/h高温高压循环流化床锅炉和2台24MW抽凝式汽轮发电机组。两台机组于2004年4月份投入商业运行并正式对外供汽。年供电能力4亿千瓦时、供热能力200万GJ，最大供汽能力160T/t。
1,10,扬州市,江都区,江苏天雨清源污水处理有限公司,321000000026,321000000026888888889101,321012100000,91321012739447599K,D4620,污水处理及其再生利用,污水处理,王大华,江苏扬州江都市仙女镇,119.591739,32.445311,江苏天雨清源污水处理有限公司，位于江苏扬州江都市仙女镇，设计处理能力为日处理污水4.00万立方米。江苏天雨清源污水处理有限公司自2006年1月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为3.89 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用奥贝尔氧化沟处理工艺。
0,20,扬州市,宝应县,光大环保能源（宝应）有限公司,3210230203000304,321023020300030488889301,321023,91321023MA1P820Y9J,D4420,电力供应,电力,吴永新,扬州市宝应县望直港镇光大路1号,119.452161,33.264252,光大环保能源（宝应）有限公司建设、运营生活垃圾焚烧发电（含焚烧处理城市生活垃圾销售所产生的电力及灰渣），建设热网管道并销售生活垃圾焚烧发电所产生的热力，建设及运营飞灰填埋场，运营生活垃圾填埋场，研究开发垃圾处理技术，提供相关技术咨询和技术服务。
0,10,扬州市,高邮市,高邮市海潮污水处理厂,3210840200008303,321084020000830388889101,321084,91321084757951000C,D462,污水处理及其再生利用,,胡健,高邮市东外环,119.476908,32.793034,
0,10,扬州市,仪征市,扬州中化化雨环保有限公司,3210810201000353,321081020100035388889501,321081,91321081MA1Q3NHL1C,C15,酒、饮料及精制茶制造业,,常凯,江苏省扬州市仪征市龙仪路与龙肖路交叉口东南150米,119.105169,32.272295,
0,30,镇江市,丹徒区,江苏镇江发电有限公司,321100500000,321100500000888888889201,321112,91321100608836068D,D4411,火力发电,电力,陈为贤,江苏镇江丹徒区高资,119.272192,32.184433,江苏镇江发电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。总装机容量126万千瓦。2019年发电量达69.19亿千瓦时。
0,10,镇江市,丹阳市,丹阳市石城污水处理有限公司,3211010200101506,321101020010150688889101,321181,91321181703952884C,D4620,污水处理及其再生利用,污水处理,张宝春,丹阳市云阳镇,119.606958,31.973254,
1,10,镇江市,句容市,句容市深水水务有限公司,321183968750,321183968750888888889101,321183,91321183677609571X,D4620,污水处理及其再生利用,污水处理,童建国,句容市开发区兆文桥西侧,119.144231,31.935512,句容市深水水务有限公司，坐落于江苏镇江市，厂区具体位于句容市开发区兆文桥西侧，设计处理能力为日处理污水5.00万立方米。句容市深水水务有限公司自2009年5月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为4.54 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用A2/O处理工艺。
1,10,镇江市,润州区,镇江市水业总公司征润洲污水处理厂,3211110200003802,321100281250888888889101,321111,913211001413801232,D4620,污水处理及其再生利用,污水处理,陈恒宝,镇江市长江路2号,119.448091,32.218480,镇江水业总公司征润州污水处理厂隶属于镇江市水业总公司，坐落于江苏镇江市，厂区具体位于镇江市长江路2号，设计处理能力为日处理污水14.50万立方米。镇江水业总公司征润州污水处理厂自2003年8月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为13.91 万立方米。
0,10,镇江市,京口区,镇江市水业总公司新区第二污水处理厂,321100000756,321100000756888888889101,321171,913211001413801232,D4620,污水处理及其再生利用,污水处理,陈恒宝,镇江市新区北山路,119.448091,32.218480,
0,20,镇江市,京口区,光大环保能源（镇江）有限公司,3211910200001925,321191020000192588889301,321171,91321191694475288U,D4417,生物质能发电,电力,蔡曙光,镇澄路101号,119.604694,32.160854,光大环保能源（镇江）有限公司垃圾焚烧发电项目总占地面积约120亩，日均处理生活垃圾1000吨，年处理生活垃圾36.5万吨。本项目采用机械炉排垃圾焚烧处理技术，配备3台350吨垃圾焚烧炉和2台12MW汽轮发电机组，烟气采用半干法+活性碳+布袋除尘的处理工艺，烟气排放优于国家控制标准，年发电量约1亿度。
0,30,泰州市,市辖区,国家能源集团泰州发电有限公司,3212010200005257,321201020000525788889501,321201,9132120075796619XM,C15,酒、饮料及精制茶制造业,,,泰州市高港区永安洲镇福沙村,119.380000,31.550000,
1,10,泰州市,靖江市,靖江市华汇城市污水处理有限公司,321200820070,321200820070888888889101,321282401000,91321282743945080C,D4620,污水处理及其再生利用,污水处理,候熀明,靖江市苏源热电路,120.270140,32.004970,靖江市城市污水处理厂/靖江市华汇城市污水处理有限公司，坐落于江苏泰州市，厂区具体位于靖江市苏源热电路，设计处理能力为日处理污水4.00万立方米。靖江市城市污水处理厂/靖江市华汇城市污水处理有限公司自2008年7月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为3.10 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用氧化沟处理工艺。
1,10,泰州市,泰兴市,泰兴市滨江污水处理有限公司,3212830200013543,321283020001354388889101,321283123000,91321283743724659R,D4620,污水处理及其再生利用,污水处理,李晶明,泰兴市滨江镇工业园区,119.930737,32.122102,泰兴市滨江污水处理总厂（一、二期），坐落于江苏泰州市，厂区具体位于江苏泰兴市滨江镇工业园区，设计处理能力为日处理污水7.00万立方米。泰兴市滨江污水处理总厂（一、二期）自2008年8月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为6.23 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用改良A2/O处理工艺。
0,20,泰州市,泰兴市,泰兴市三峰环保能源有限公司,3212830200013571,321283020001357188889201,321283,913212836087857150,D4411,火力发电,电力,黄龙强,泰兴市滨江工业园区,119.923518,32.133280,泰兴市三峰环保能源有限公司是三峰环境集团控股子公司，全面负责泰兴市生活垃圾焚烧发电项目(以下简称泰兴项目)的建设、运营和管理。泰兴项目位于泰兴市经济开发区内，占地面积约100亩， 是一家热电联产 企业。公司前身为地方国营的泰兴沿江热电厂，2007年更名为泰兴卡万塔沿江热电有限公司，2016年3月 完成股权置换，成为三峰环境集团控股的垃圾发电厂。该项目一期配置1台350吨/天垃圾焚烧炉，二期配置1台450吨/天垃圾焚烧炉，均已建成投产。除焚烧发电外，还承担着经开区内80余家企业的集中供热任务。
0,10,泰州市,兴化市,兴化市城南污水处理厂,321200810082,321200810082888888889101,321281113000,91321281766513774P,D4620,污水处理及其再生利用,污水处理,王斌,兴化市垛田镇张庄村,119.885800,32.926200,
0,10,泰州市,高港区,江苏港城污水处理有限公司,3212030200000918,321203020000091888889101,321203100000,91321200MA1MEWWB6R,N7721,水污染治理,,薛永坚,泰州市高港区永安洲镇新街村17组,119.544400,32.125300,江苏港城污水处理有限公司(原泰州市永安洲污水处理厂)，坐落于江苏泰州市，厂区具体位于泰州市高港区，设计处理能力为日处理污水1万吨，处理工艺采用改良型AAO工艺。江苏港城污水处理有限公司自2011年3月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为0.39万吨。
0,30,宿迁市,宿城区,国电宿迁热电有限公司,321300100014,321300100014888888889201,321301,913213007527282801,D4411,火力发电,电力,戚安源,宿城区洋北镇,118.382186,33.840709,国电宿迁热电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。公司一期2×135MW火力发电机组于2005年投入使用，二期2×600MW机组和燃气机组于2019年投入使用。2019年发电量达55.47亿千瓦时。
0,10,宿迁市,沭阳县,金风环保（沭阳）有限公司,3213220200003783,321322020000378388889101,321300,,N7700,,污水处理,sss,宿迁,,,
1,10,宿迁市,泗阳县,中信环境水务（泗阳）有限公司,3213000200000227,321300020000022788889101,321323,91321300066260235Y,D4620,污水处理及其再生利用,污水处理,陈鼎东,泗阳经济开发区太湖路北首西侧外环路南侧,118.770039,33.695940,
